,Company,Menu
300,Pizza Hut,CHEESE OVERLOAD
301,Pizza Hut,VEGGIE GARDEN
302,Pizza Hut,CHOOSE YOUR CRUST!
303,Pizza Hut,BEEF ARABIATA
304,Pizza Hut,CLASSIC SALMON MENTAIKO
305,Pizza Hut,CREAMY TRUFFLE
306,Pizza Hut,CUMI CABE IJO
307,Pizza Hut,ORIENTAL CHICKEN SPAGHETTI
308,Pizza Hut,TUNA AGLIO OLIO
309,Pizza Hut,BLACK PEPPER CHICKEN FETTUCCINE
311,Pizza Hut,CREAMY BEEF / CHICKEN CLASSIC FETTUCCINE
312,Pizza Hut,BEEF SPAGHETTI
313,Pizza Hut,BEEF LASAGNA
314,Pizza Hut,CHEESE-BEEF FUSILLI
315,Pizza Hut,ORIENTAL CHICKEN
317,Pizza Hut,BLACK PEPPER CHICKEN
318,Pizza Hut,CHICKEN BITES
319,Pizza Hut,WINGSTREET
320,Pizza Hut,NEW ORLEANS CHICKEN WINGS
321,Pizza Hut,BAKED CHICKEN CHUNKS
322,Pizza Hut,SAUSAGE PASTRY ROLL
323,Pizza Hut,NACHO CHEESE
324,Pizza Hut,PUUF PASTRY MUSHROOM CREAM SOUP
325,Pizza Hut,GARLIC BREAD
326,Pizza Hut,CHICKEN ROYALE
327,Pizza Hut,DELUXE BEEF BRUSCHETTA
328,Pizza Hut,DELUXE CHICKEN BRUSCHETTA
329,Pizza Hut,GARLICHEESE BREAD
330,Pizza Hut,CHEESE ROLLS
331,Pizza Hut,CHOCO PUFF
332,Pizza Hut,POTATO WEDGES
333,Pizza Hut,CHEESE MARTABAK PIZZA
334,Pizza Hut,FRESH SALAD
335,Pizza Hut,TROPICAL PUNCH
336,Pizza Hut,LYCHEE BREEZE
337,Pizza Hut,ORANGE LYCHEE SPARKLE
338,Pizza Hut,BLUE OCEAN
339,Pizza Hut,MIXBERRY
340,Pizza Hut,WINTER PUNCH
343,Pizza Hut,LYCHEE SPRING
344,Pizza Hut,WATERMELON
345,Pizza Hut,MELON
346,Pizza Hut,AVOCADO
348,Pizza Hut,STRAWBERRY WATERMELON
349,Pizza Hut,STRAWBERRY ORANGE
350,Pizza Hut,MELON PEACH
351,Pizza Hut,ITALIAN SUNRISE SODA
352,Pizza Hut,ITALIAN RED SODA
353,Pizza Hut,ITALIAN GREEN SODA
354,Pizza Hut,LIME SQUASH
356,Pizza Hut,TOFFEE COFFEE
