,Company,Jenis,Menu,Calories,Carbo,Protein,Fat
1174,Cold Stone,Ice cream,Cookie Butter Delight,,,,
1179,Cold Stone,Ice cream,Banana Split Decision,,,,
1180,Cold Stone,Ice cream,Hunka Chunka Burnin Fudge,,,,
1181,Cold Stone,Ice cream,Who You Callin Shortcake,,,,
1186,Cold Stone,Ice cream,Love It,,,,
1187,Cold Stone,Ice cream,Gotta Have It,,,,
1188,Cold Stone,Ice cream,Mine,,,,
1189,Cold Stone,Ice cream,Ours,,,,
1190,Cold Stone,Cake,Pure Decadence,,,,
1192,Cold Stone,Ice cream,Red Velvet Dream,,,,
1193,Cold Stone,Ice cream,Cookie Doughn't You Want Some,,,,
1194,Cold Stone,Ice cream,Banana Caramel Crunch,,,,
1195,Cold Stone,Ice cream,Chocolate Devotion,,,,
1196,Cold Stone,Ice cream,Peanut Butter Cup Perfection,,,,
1197,Cold Stone,Ice cream,Strawberry Banana Rendezvouz,,,,
1198,Cold Stone,Ice cream,Our Strawberry Blonde,,,,
1199,Cold Stone,Ice cream,Surrender to Strawberry,,,,
1201,Cold Stone,Ice cream,Cake Batter Batter Batter,,,,
1202,Cold Stone,Ice cream,Founder's Favorite,,,,
1203,Cold Stone,Ice cream,OREO Overload,,,,
1204,Cold Stone,Ice cream,Berry Berry Berry Good,,,,
1205,Cold Stone,Ice cream,Mint Mint Chocolate Chocolate Chip,,,,
1206,Cold Stone,Ice cream,Cookie Mintster,,,,
1207,Cold Stone,Ice cream,The Pie Who Love Me,,,,
1209,Cold Stone,Ice cream,Mud Pie Mojo,,,,
1210,Cold Stone,Ice cream,Coffee Lovers Only,,,,
1211,Cold Stone,Ice cream,Shocking Green,,,,
1212,Cold Stone,Ice cream,Cookie Dough Delirium Medium Round,,,,
1213,Cold Stone,Ice cream,Cookies and Creamery Medium Round,,,,
1214,Cold Stone,Ice cream,Chocolate Chipper Medium Round,,,,
1215,Cold Stone,Ice cream,Midnight Delight Medium Round,,,,
1216,Cold Stone,Ice cream,Coffee House Crunch Medium Round,,,,
1217,Cold Stone,Ice cream,Strawberry Passion Medium Round,,,,
1218,Cold Stone,Ice cream,Red Velvet Cheesecake Medium Round,,,,
1219,Cold Stone,Ice cream,Peanut Butter Playground Medium Round,,,,
1220,Cold Stone,Ice cream,Happy..Happy..Happy.. Birthday! Medium Round,,,,
1221,Dairy Queen,Ice cream,Bundling 3 Blizzard®,,,,
1223,Dairy Queen,Cake,Oreo® Blizzard® Cake design 1,,,,
1224,Dairy Queen,Ice cream,dilly bar vanila,,,,
1225,Dairy Queen,Ice cream,Bundling 3 Blizzard®,,,,
1227,Dairy Queen,Ice cream,Bundle 2 Pint 473ml,,,,
1229,Dairy Queen,Cake,Ovomaltine® Brownie Blizzard® Cake,,,,
1230,Dairy Queen,Cake,Oreo® Blizzard ® Cake design 2,,,,
1231,Dairy Queen,Ice cream,Oreo® Blizzard®,,,,
1232,Dairy Queen,Ice cream,Choco Extreme Blizzard®,,,,
1233,Dairy Queen,Ice cream,Ovomaltine® Blizzard®,,,,
1234,Dairy Queen,Ice cream,Strawberry Blizzard®,,,,
1236,Dairy Queen,Ice cream,Cappucino Blizzard®,,,,
1237,Dairy Queen,Ice cream,Strawberry Oreo® Pint 473ml,,,,
1238,Dairy Queen,Ice cream,Choco Xtreme Pint 473ml,,,,
1239,Dairy Queen,Ice cream,Oreo® Pint 473ml,,,,
1240,Dairy Queen,Ice cream,Vanilla Pint 473ml,,,,
1241,Dairy Queen,Ice cream,dilly bar vanila,,,,
1242,Dairy Queen,Ice cream,dilly bar oreo®,,,,
1243,Dairy Queen,Hot dog,Original Dog,,,,
1244,Dairy Queen,Hot dog,Cheese Dog,,,,
1254,Dairy Queen,Ice cream,Noccio Peanut Butter & jelly Blizzard,,,,
1255,Dairy Queen,Ice cream,Peanut Butter & Crunch Blizzard®,,,,
1258,Pizza Marzano,Pizza,American,,,,
1259,Pizza Marzano,Pizza,Funghi Di Bosco,,,,
1260,Pizza Marzano,Pizza,Margherita,,,,
1261,Pizza Marzano,Pizza,Trifolata,,,,
1264,Pizza Marzano,Pizza,Pizza Party,,,,
1265,Pizza Marzano,Pizza,Chicago,,,,
1266,Pizza Marzano,Pizza,Quatro Formagi,,,,
1267,Pizza Marzano,,Rosemary & Garlic FlatBread,,,,
1268,Pizza Marzano,Snack,Calamari,,,,
1269,Pizza Marzano,Baked potato,Baked Chicken Wings,,,,
1272,Pizza Marzano,Baked potato,Baked Potato Wedges,,,,
1273,Pizza Marzano,Stuffed pocket,Garlic Bread With Mozarella,,,,
1274,Pizza Marzano,Snack,Baked Dough Balls,,,,
1275,Pizza Marzano,Snack,Dough Ball Formagi,,,,
1276,Pizza Marzano,Pasta,Baked Mushroom Pesto Mozarella,,,,
1277,Pizza Marzano,Pasta,Penne and Cheese,,,,
1278,Pizza Marzano,Pasta,Spaghetti Gambaretti,,,,
1279,Pizza Marzano,Pasta,Spaghetti Aglio Olio,,,,
1280,Pizza Marzano,Pasta,Spaghetti Pollo e Funghi,,,,
1281,Pizza Marzano,Pasta,Fettucini Carbonara,,,,
1282,Pizza Marzano,Pasta,Spaghetti Bolognese,,,,
1283,Pizza Marzano,Pasta,Spaghetti Tartufo,,,,
1284,Pizza Marzano,Pasta,Fettucini Salmon Pesto,,,,
1285,Pizza Marzano,Pasta,Spaghetti Peri and Prawn,,,,
1286,Pizza Marzano,Pasta,Lasagna Classica,,,,
1294,Pizza Marzano,Pizza,La Regina,,,,
1295,Pizza Marzano,Pizza,Peking Duck,,,,
1296,Pizza Marzano,Pizza,Salmon & Spinach Cream,,,,
1297,Pizza Marzano,Pizza,Portabelo Kale,,,,
1298,Pizza Marzano,Pizza,Milano,,,,
1299,Pizza Marzano,Pizza,Quatro Carni,,,,
1300,Pizza Marzano,Pizza,BBQ Rasher and Mushrooms,,,,
1301,Pizza Marzano,Pizza,Chicken Teriyaki Mayo,,,,
1302,Pizza Marzano,Pizza,Salami Con Pesto,,,,
1303,Pizza Marzano,Pizza,Tonno Forza,,,,
1304,Pizza Marzano,Pizza,IL Padrino,,,,
1305,Pizza Marzano,Pizza,Carbonara,,,,
1306,Pizza Marzano,Pizza,Spicy Chicken,,,,
1307,Pizza Marzano,Pizza,Mushroom Pesto,,,,
1308,Pizza Marzano,,Calzone Salami,,,,
1313,Pizza Marzano,Pasta,Pennette Pollo Pesto,,,,
1314,Pizza Marzano,Pizza,Big Classic Prawn & Potato Chili Sambal Pizza,,,,
1315,Pizza Marzano,Pasta,Lasagna Rendang,,,,
1316,Pizza Marzano,,Calzone Rendang,,,,
1317,Pizza Marzano,Pudding,Salted Caramell Pannacotta,,,,
1321,Texas Chicken,French fries,Royal Herbs Fries,,,,
1322,Texas Chicken,Fried chicken,Ayam Royal Herbs ,,,,
1336,Texas Chicken,Snack,Honey Butter Biscuit ,,,,
1337,Texas Chicken,French fries,Fries,,,,
1344,Texas Chicken,Burger,Jr. Mexicana Burger,,,,
1345,Texas Chicken,Wrap,Zesty Crunch Wrap,,,,
1346,Texas Chicken,Wrap,Mexicana Wrap,,,,
1347,Texas Chicken,Fried chicken,1pt Ayam (ORI/SPC),,,,
1350,Texas Chicken,Snack,Tender (ORI/SPC),,,,
1378,Texas Chicken,French fries,Herb & Garlic Fries,,,,
1381,Texas Chicken,Fried chicken,Ayam Glazed Herb & Garlic,,,,
1383,Texas Chicken,Ice cream,Chocolate Sundae,,,,
1384,Texas Chicken,Ice cream,Strawberry Sundae,,,,
1385,Texas Chicken,Ice cream,Chocolate Shortcake,,,,
1386,Texas Chicken,Ice cream,Strawberry Shortcake,,,,
1391,Popeyes Louisiana Kitchen,Burger,Classic Chicken Sandwich,,,,
1393,Popeyes Louisiana Kitchen,Fried chicken,Classic Chicken,,,,
1394,Popeyes Louisiana Kitchen,Fried chicken,Louisiana Grilled Chicken,,,,
1395,Popeyes Louisiana Kitchen,Fried chicken,New Orleans Spicy Chicken ,,,,
1396,Popeyes Louisiana Kitchen,Snack,Onion Ring Medium,,,,
1397,Popeyes Louisiana Kitchen,French fries,Cajun Fries Medium,,,,
1398,Popeyes Louisiana Kitchen,Snack,Chicken Popcorn Garlic Parmesan,,,,
1399,Popeyes Louisiana Kitchen,Burger,Spicy Chicken Sandwich ,,,,
1400,Popeyes Louisiana Kitchen,Fried chicken,Chicken Wings Bulgogi BBQ,,,,
1414,Popeyes Louisiana Kitchen,Burger,Spicy Chicken Sandwich ,,,,
1431,Popeyes Louisiana Kitchen,Snack,Chicken Popcorn Japanese Nori,,,,
1432,Popeyes Louisiana Kitchen,Snack,Chicken Popcorn Cajun,,,,
1433,Popeyes Louisiana Kitchen,Snack,Chicken Popcorn Classic,,,,
1434,Popeyes Louisiana Kitchen,Snack,Chicken Popcorn Japanese Nori,,,,
1435,Popeyes Louisiana Kitchen,Snack,Chicken Popcorn Garlic Parmesan,,,,
1436,Popeyes Louisiana Kitchen,Snack,Chicken Popcorn Garlic Parmesan,,,,
1437,Popeyes Louisiana Kitchen,Snack,Chicken Popcorn Cajun,,,,
1438,Popeyes Louisiana Kitchen,Snack,Chicken Popcorn Classic,,,,
1439,Popeyes Louisiana Kitchen,Snack,Buttermilk Classic Chicken Strips,,,,
1440,Popeyes Louisiana Kitchen,Snack,Buttermilk Chicken Strips,,,,
1442,Popeyes Louisiana Kitchen,Fried chicken,Chicken Wings Asian Sweet & Sour,,,,
1443,Popeyes Louisiana Kitchen,Fried chicken,Chicken Wings Bulgogi BBQ,,,,
1445,Popeyes Louisiana Kitchen,Fried chicken,Chicken Wings Asian Sweet & Sour,,,,
1446,Popeyes Louisiana Kitchen,Fried chicken,Chicken Wings Bulgogi BBQ,,,,
1452,Popeyes Louisiana Kitchen,Snack,Onion Ring Regular,,,,
1454,Popeyes Louisiana Kitchen,French fries,Cajun Fries Large,,,,
1455,Popeyes Louisiana Kitchen,Snack,Onion Ring Medium,,,,
1456,Popeyes Louisiana Kitchen,French fries,Cajun Fries Regular,,,,
1457,Popeyes Louisiana Kitchen,French fries,Cajun Fries Medium,,,,
1490,A&W Restaurants,Ice cream,Durian Balls Mountain Sundae,,,,
1491,A&W Restaurants,Snack,Durian Balls,,,,
1526,A&W Restaurants,Fried chicken,Golden Aroma Chicken,,,,
1527,A&W Restaurants,Fried chicken,Spicy Aroma Chicken,,,,
1528,A&W Restaurants,Burger,Mozza Burger,,,,
1529,A&W Restaurants,Burger,Single Deluxe Burger,,,,
1530,A&W Restaurants,Burger,Cheese Burger,,,,
1531,A&W Restaurants,Burger,Beef Burger,,,,
1532,A&W Restaurants,Burger,Fish Sandwich,,,,
1533,A&W Restaurants,Burger,Chicken Sandwich,,,,
1534,A&W Restaurants,Taco,Mango Chicken Pocket,,,,
1535,A&W Restaurants,Taco,Mango Veggie Pocket,,,,
1536,A&W Restaurants,Burger,Veggie Burger,,,,
1537,A&W Restaurants,Rice bowl,Blackpepper Mixbowl Chicken,,,,
1540,A&W Restaurants,Snack,Perkedel,,,,
1544,A&W Restaurants,Snack,Chicken Chunks,,,,
1545,A&W Restaurants,Snack,Chicken Strips ,,,,
1546,A&W Restaurants,French fries,Curly Fries,,,,
1547,A&W Restaurants,French fries,French Fries,,,,
1548,A&W Restaurants,French fries,Duo Fries,,,,
1572,A&W Restaurants,Waffle,Waffle - Butter,,,,
1573,A&W Restaurants,Ice cream,Sundae,,,,
1574,A&W Restaurants,Ice cream,Mountain Sundae,,,,
1580,Shihlin Taiwan Street Snacks,Snack,XXL Crispy Chicken Blackpapper,,,,
1581,Shihlin Taiwan Street Snacks,Snack,XXL Crispy Chicken Cheese,,,,
1582,Shihlin Taiwan Street Snacks,Snack,XXL Crispy Chicken,,,,
1583,Shihlin Taiwan Street Snacks,Snack,Seafood Tempura,,,,
1584,Shihlin Taiwan Street Snacks,Snack,Popcorn Chicken,,,,
1586,Shihlin Taiwan Street Snacks,Snack,Egg Crepe,,,,
1587,Shihlin Taiwan Street Snacks,Snack,Crispy Salt Pepper Mushroom,,,,
1588,Shihlin Taiwan Street Snacks,Snack,Sweet Plum Potato,,,,
1623,CFC,Burger,California Burger,,,,
1624,CFC,Burger,California Cheese Burger,,,,
1625,CFC,Snack,Chicken Pop ,,,,
1626,CFC,Snack,Chicken Strips ,,,,
1627,CFC,Snack,Chicken Kranz,,,,
1628,CFC,Fried chicken,Dada,,,,
1629,CFC,Fried chicken,Paha Atas,,,,
1630,CFC,Fried chicken,Sayap,,,,
1631,CFC,Fried chicken,Paha Bawah,,,,
1634,CFC,French fries,Cheesy Fries,,,,
1635,CFC,French fries,French Fries Regular,,,,
1636,CFC,French fries,French Fries Large,,,,
1637,CFC,Snack,Onion Ring,,,,
1638,CFC,Snack,Perkedel,,,,
1716,The Coffee Bean & Tea Leaf,Cupcake,Warm Chcocolate Muffin,,,,
1717,The Coffee Bean & Tea Leaf,Cupcake,Low Fat Orange Muffin,,,,
1718,The Coffee Bean & Tea Leaf,Pastry,Butter Croissant,,,,
1756,The Coffee Bean & Tea Leaf,Pasta,Chicken Parmigiana,,,,
1757,The Coffee Bean & Tea Leaf,Pasta,Fettucine Carbonara,,,,
1758,The Coffee Bean & Tea Leaf,Pasta,Aglio Oilio,,,,
1759,The Coffee Bean & Tea Leaf,Pizza,Pizza Meat,,,,
1760,The Coffee Bean & Tea Leaf,Pizza,Pizza Mushroom,,,,
1762,The Coffee Bean & Tea Leaf,Quesadilla,Quesadilla,,,,
1763,The Coffee Bean & Tea Leaf,Cake,Espresso Brownie,,,,
1766,The Coffee Bean & Tea Leaf,Pudding,STRAWBERRY CUSTARD,,,,
1767,The Coffee Bean & Tea Leaf,Pudding,CARAMEL CUSTARD,,,,
1768,The Coffee Bean & Tea Leaf,Pudding,BROWN SUGAR CUSTARD,,,,
1773,The Coffee Bean & Tea Leaf,Cookies,Almond Cookies ( B ),,,,
1774,The Coffee Bean & Tea Leaf,Cookies,Choc Chip Cookies ( B ),,,,
1775,The Coffee Bean & Tea Leaf,Cookies,Triple Choc Chips Cookies (B),,,,
1776,The Coffee Bean & Tea Leaf,Pastry,Almond Croissant,,,,
1777,The Coffee Bean & Tea Leaf,Pastry,Beef Croissant,,,,
1778,The Coffee Bean & Tea Leaf,Pastry,Butter Croissant,,,,
1779,The Coffee Bean & Tea Leaf,Pastry,Cheese Croissant,,,,
1780,The Coffee Bean & Tea Leaf,Pastry,Chicken Croissant,,,,
1781,The Coffee Bean & Tea Leaf,Pastry,Chocolate Croissant,,,,
1782,The Coffee Bean & Tea Leaf,Cupcake,Banana Muffin,,,,
1783,The Coffee Bean & Tea Leaf,Cupcake,Blueberry Muffin,,,,
1784,The Coffee Bean & Tea Leaf,Cupcake,Choc Chip Muffin,,,,
1785,The Coffee Bean & Tea Leaf,Cupcake,Low Fat Orange Muffin,,,,
1786,The Coffee Bean & Tea Leaf,Cake,Almond Banana Tart,,,,
1787,The Coffee Bean & Tea Leaf,Cake,Chicago Cheese Cake,,,,
1788,The Coffee Bean & Tea Leaf,Cake,Choc Fudge Cake,,,,
1789,The Coffee Bean & Tea Leaf,Cake,Dark Choco Cheesecake,,,,
1790,The Coffee Bean & Tea Leaf,Cake,Oreo Cheese Cake,,,,
1791,The Coffee Bean & Tea Leaf,Cupcake,Warm Chocolate Muffin,,,,
1792,The Coffee Bean & Tea Leaf,Pastry,Raisin Danish,,,,
1793,The Coffee Bean & Tea Leaf,Pastry,Swiss Choco Danish,,,,
1810,The Coffee Bean & Tea Leaf,Snack,Beef Roll,,,,
1811,The Coffee Bean & Tea Leaf,Pastry,Newyork Sausage Roll,,,,
1812,The Coffee Bean & Tea Leaf,Pastry,Cakalang Roll,,,,
1814,The Coffee Bean & Tea Leaf,Pasta,Beef Lasagna,,,,
1817,The Coffee Bean & Tea Leaf,,Long John Gyu Teriyaki,,,,
1818,The Coffee Bean & Tea Leaf,Burger,Teriyaki Tori Burger,,,,
1819,The Coffee Bean & Tea Leaf,Fried chicken,Roasted Baby Chicken,,,,
1841,Doner Kebab,Pocket wrap,Pocket Mozarella - Chicken,,,,
1842,Doner Kebab,Pocket wrap,Pocket Mozarella - Beef,,,,
1843,Doner Kebab,Pocket wrap,Pocket Mozarella - Lamb,,,,
1844,Doner Kebab,Pocket wrap,Pocket Meat Lover - Chicken,,,,
1845,Doner Kebab,Pocket wrap,Pocket Meat Lover - Beef,,,,
1846,Doner Kebab,Pocket wrap,Pocket Meat Lover - Lamb,,,,
1847,Doner Kebab,Pita,Pita Cheese Toast - Chicken,,,,
1848,Doner Kebab,Pita,Pita Cheese Toast - Beef,,,,
1849,Doner Kebab,Pita,Pita Cheese Toast - Lamb,,,,
1850,Doner Kebab,Pita,Pita Beef Grill,,,,
1851,Doner Kebab,Pita,Pita Fried Chicken,,,,
1882,Doner Kebab,Rice platter,Nasi Kebuli - Lamb,,,,
1883,Doner Kebab,Rice platter,Nasi Kebuli - Beef,,,,
1884,Doner Kebab,Rice platter,Nasi Kebuli - Chicken,,,,
1886,Doner Kebab,Fish n chips,Fish n Chips,,,,
1887,Doner Kebab,Pasta,Spaghetti Bolognese,,,,
1888,Doner Kebab,Fried chicken,Fried Chicken ,,,,
1890,Doner Kebab,French fries,French Fries,,,,
1892,Doner Kebab,Wrap,Beef Kebab - R,,,,
1893,Doner Kebab,Wrap,Beef Kebab - L,,,,
1894,Doner Kebab,Wrap,Chicken Kebab - R,,,,
1895,Doner Kebab,Wrap,Chicken Kebab - L,,,,
1896,Doner Kebab,Wrap,Lamb Kebab - R,,,,
1897,Doner Kebab,Wrap,Lamb Kebab - L,,,,
1898,Doner Kebab,Wrap,Mixed Kebab - R,,,,
1899,Doner Kebab,Wrap,Mixed Kebab - L,,,,
1900,Doner Kebab,Wrap,Fish Kebab - Reguler,,,,
1901,Doner Kebab,Wrap,Vegetarian Kebab - R,,,,
1902,Doner Kebab,Wrap,Vegetarian Kebab - L,,,,
1916,Krispy Kreme,Donuts,1 lusin Original Glazed,,,,
1917,Krispy Kreme,Donuts,1 lusin Premium Assorted Doughnut,,,,
1918,Krispy Kreme,Donuts,1 lusin Mixed Assorted Doughnut,,,,
1919,Krispy Kreme,Donuts,1 lusin Basic Assorted Doughnut,,,,
1920,Krispy Kreme,Donuts,1/2 lusin Original Glazed,,,,
1921,Krispy Kreme,Donuts,1/2 lusin Premium Assorted Doughnut,,,,
1922,Krispy Kreme,Donuts,1/2 lusin Mixed Assorted Doughnut,,,,
1923,Krispy Kreme,Donuts,1/2 lusin Basic Assorted Doughnut,,,,
1934,Krispy Kreme,Donuts,Krispy Kreme CFW,,,,
1935,Krispy Kreme,Donuts,Chocolate Glazed is BACK!,,,,
1955,Wingstop,Fried chicken,Wingstop Chicken ,,,,
1970,Wingstop,Fried chicken,Boneless Wings ,,,,
1971,Wingstop,Fried chicken,Crunchy Wings ,,,,
1972,Wingstop,Fried chicken,Classic Wings,,,,
1990,Wingstop,Rice bowl,Flavor Krezz Krezz,,,,
1997,Wingstop,French fries,Spicy Voodoo Fries,,,,
1998,Wingstop,French fries,Cheesy Voodoo Fries,,,,
1999,Wingstop,French fries,Cheese Fries,,,,
2000,Wingstop,French fries,Skin On Fries,,,,
2001,Wingstop,Snack,Mushroom Fritters,,,,
2002,Wingstop,Snack,Onion Rings,,,,
2003,Wingstop,Snack,Chicken Bites,,,,
2010,Wingstop,Pastry,Churros ,,,,
2011,Wingstop,Wrap,Chicken Wrap,,,,
2031,Richeese Factory,Fried chicken,Fire Gangnam Chicken,,,,
2033,Richeese Factory,Burger,Fire Gangnam Burger - Chicken,,,,
2034,Richeese Factory,French fries,Fire Gangnam Friend Fries,,,,
2036,Richeese Factory,Snack,Fire Gangnam Bites,,,,
2037,Richeese Factory,Burger,Fire Gangnam Burger - Beef,,,,
2040,Richeese Factory,Cake jar,Cake In A Cup - Tiramisu,,,,
2068,Richeese Factory,Burger,Rich Burger - Chicken,,,,
2069,Richeese Factory,Burger,Fire Burger Chicken (Atomic/Nuclear),,,,
2074,Richeese Factory,Burger,Rich Burger - Beef,,,,
2075,Richeese Factory,Burger,Fire Burger Beef (Atomic/Nuclear),,,,
2080,Richeese Factory,Soup,Cheesy Cream Soup,,,,
2081,Richeese Factory,,Fire Wedges,,,,
2082,Richeese Factory,French fries,Fire French Fries,,,,
2083,Richeese Factory,French fries,French Fries,,,,
2084,Richeese Factory,Snack,Perkedel,,,,
2085,Richeese Factory,Snack,Potato Pompom,,,,
2086,Richeese Factory,Snack,Cheese Crackling,,,,
2087,Richeese Factory,Fried chicken,Richicken ,,,,
2088,Richeese Factory,Fried chicken,Fire Wings ,,,,
2090,Richeese Factory,Fried chicken,Fire Chicken ,,,,
2096,Richeese Factory,Fried chicken,Fire Flying Chicken,,,,
2099,Richeese Factory,Fried chicken,Drum Stick Fire Chicken,,,,
2100,Richeese Factory,Fried chicken,Drum Stick Richicken ,,,,
2101,Richeese Factory,Fried chicken,Drum Stick Fire Flying Chicken ,,,,
2103,Richeese Factory,Fried chicken,Fire Flying Chicken,,,,
2133,Taco Bell,Taco,Crunchy Taco Supreme,,,,
2134,Taco Bell,Wrap,Cheesy Burrito,,,,
2136,Taco Bell,Quesadilla,Chicken Quesadilla,,,,
2139,Taco Bell,Taco,Kickin' Chicken Taco,,,,
2140,Taco Bell,Taco,Soft Taco Supreme,,,,
2141,Taco Bell,Taco,Crunchy Taco,,,,
2142,Taco Bell,Wrap,Grilled Stuft Burrito,,,,
2143,Taco Bell,Taco,Soft Taco,,,,
2144,Taco Bell,Wrap,Chickstar,,,,
2145,Taco Bell,Taco,Naked Chicken Taco,,,,
2146,Taco Bell,Wrap,Loaded Griller,,,,
2147,Taco Bell,French fries,Loaded Fries,,,,
2148,Taco Bell,Chips,Loaded Nachos,,,,
2168,Taco Bell,Wrap,Cheesy Roll,,,,
2169,Taco Bell,Wrap,Rendang Burrito,,,,
2170,Taco Bell,Fried chicken,Mexican Wings ,,,,
2197,Taco Bell,French fries,Nacho Fries,,,,
2198,Taco Bell,Chips,Cheesy Chips,,,,
2199,Taco Bell,Quesadilla,Cheese Quesadilla,,,,
2200,Taco Bell,French fries,Fries,,,,
2212,Subway,Burger,Veggie Delight,,,,
2213,Subway,Burger,Roasted Chicken,,,,
2214,Subway,Burger,BBQ Chicken,,,,
2215,Subway,Burger,Chicken Teriyaki,,,,
2216,Subway,Burger,Tuna Mayo,,,,
2217,Subway,Burger,Italian BMT,,,,
2218,Subway,Burger,Spicy Italian,,,,
2219,Subway,Burger,Meatball Marinara,,,,
2221,Subway,Burger,Roast Beef,,,,
2222,Subway,Wrap,Wrap - Veggie Delight,,,,
2224,Subway,Wrap,Wrap - BBQ Chicken,,,,
2225,Subway,Wrap,Wrap - Chicken Teriyaki,,,,
2226,Subway,Wrap,Wrap - Roasted Chicken,,,,
2227,Subway,Wrap,Wrap - Tuna Mayo,,,,
2228,Subway,Wrap,Wrap - Italian BMT,,,,
2229,Subway,Wrap,Wrap - Spicy Italian,,,,
2230,Subway,Wrap,Wrap - Meatball Marinara,,,,
2232,Subway,Wrap,Wrap - Roast Beef,,,,
2233,Subway,Burger,Egg Mayo,,,,
2234,Subway,Wrap,Wrap - Egg Mayo,,,,
2235,Subway,Wrap,Wrap - Veggie Delight,,,,
2276,Subway,Snack,Meatball Marinara Bowl,,,,
2277,Subway,Cookies,Choco Chips Cookies,,,,
2278,Subway,Cookies,Double Choco Cookies,,,,
2279,Subway,Cookies,White Choc Macadamia Cookies,,,,
2280,Subway,Cookies,Oatmeal Raisin Cookies,,,,
