,Company,Jenis,Menu,Calories,Carbo,Protein,Fat
304,Pizza Hut,Pasta,CLASSIC SALMON MENTAIKO,,,,
305,Pizza Hut,Pasta,CREAMY TRUFFLE,,,,
306,Pizza Hut,Pasta,CUMI CABE IJO,,,,
307,Pizza Hut,Pasta,ORIENTAL CHICKEN SPAGHETTI,,,,
308,Pizza Hut,Pasta,TUNA AGLIO OLIO,,,,
309,Pizza Hut,Pasta,BLACK PEPPER CHICKEN FETTUCCINE,,,,
311,Pizza Hut,Pasta,CREAMY BEEF / CHICKEN CLASSIC FETTUCCINE,,,,
312,Pizza Hut,Pasta,BEEF SPAGHETTI,,,,
313,Pizza Hut,Pasta,BEEF LASAGNA,,,,
314,Pizza Hut,Pasta,CHEESE-BEEF FUSILLI,,,,
315,Pizza Hut,Pasta,ORIENTAL CHICKEN,,,,
317,Pizza Hut,Pizza,BLACK PEPPER CHICKEN,,,,
318,Pizza Hut,snack,CHICKEN BITES,,,,
319,Pizza Hut,Fried chicken,WINGSTREET,,,,
320,Pizza Hut,Fried chicken,NEW ORLEANS CHICKEN WINGS,,,,
321,Pizza Hut,Snack,BAKED CHICKEN CHUNKS,,,,
322,Pizza Hut,Snack,SAUSAGE PASTRY ROLL,,,,
323,Pizza Hut,Chips,NACHO CHEESE,,,,
324,Pizza Hut,Soup,PUUF PASTRY MUSHROOM CREAM SOUP,,,,
325,Pizza Hut,Snack,GARLIC BREAD,,,,
326,Pizza Hut,Snack,CHICKEN ROYALE,,,,
327,Pizza Hut,Snack,DELUXE BEEF BRUSCHETTA,,,,
328,Pizza Hut,Snack,DELUXE CHICKEN BRUSCHETTA,,,,
329,Pizza Hut,Snack,GARLICHEESE BREAD,,,,
330,Pizza Hut,Snack,CHEESE ROLLS,,,,
331,Pizza Hut,Pastry,CHOCO PUFF,,,,
332,Pizza Hut,Snack,POTATO WEDGES,,,,
333,Pizza Hut,Pizza,CHEESE MARTABAK PIZZA,,,,
363,PHD,Pizza,BEEF BBQ,,,,
364,PHD,Pizza,CHEESY FRANK,,,,
365,PHD,Pizza,MEATY,,,,
366,PHD,Pizza,CREAMY CHICKEN,,,,
367,PHD,Pizza,TASTY TUNA,,,,
368,PHD,Pasta,CHEESY BEEF SPAGHETTI,,,,
369,PHD,Pasta,MAC 'N CHEESE,,,,
370,PHD,Pasta,CHICKEN FETTUCCINE ALLA ITALIA,,,,
372,PHD,Pizza,CHICKEN DELIGHT,,,,
373,PHD,Snack,CHEESY DOUGH BALL,,,,
374,PHD,Snack,BEEF SAUSAGE BITES,,,,
375,PHD,Snack,CHICKEN STICKS,,,,
376,PHD,Snack,CHOCOCHIZ TOAST,,,,
377,PHD,Snack,POTATO WEDGES,,,,
378,PHD,Pizza,SPLITZA,,,,
379,PHD,Pizza,FRANKFURTER BBQ,,,,
380,PHD,Pizza,CHEESEBURGER,,,,
381,PHD,Pizza,MEAT MONSTA,,,,
382,PHD,Pizza,SUPER SUPREME,,,,
383,PHD,Pizza,MEAT LOVERS,,,,
384,PHD,Pizza,PEPPERONI,,,,
385,PHD,Pizza,AMERICAN FAVOURITE,,,,
386,PHD,Pizza,TUNA MELT,,,,
387,PHD,Pizza,CHEESE LOVERS,,,,
388,PHD,Pizza,CHEESE OVERLOAD,,,,
389,PHD,Pizza,VEGGIE GARDEN,,,,
391,PHD,Pasta,BEEF ARABIATA,,,,
392,PHD,Pasta,CLASSIC SALMON MENTAIKO,,,,
393,PHD,Pasta,CREAMY TRUFFLE,,,,
394,PHD,Pasta,CUMI CABE IJO,,,,
395,PHD,Pasta,ORIENTAL CHICKEN SPAGHETTI,,,,
396,PHD,Pasta,TUNA AGLIO OLIO,,,,
397,PHD,Pasta,BLACK PEPPER CHICKEN FETTUCCINE,,,,
399,PHD,Pasta,CREAMY BEEF / CHICKEN CLASSIC FETTUCCINE,,,,
400,PHD,Pasta,BEEF SPAGHETTI,,,,
401,PHD,Pasta,BEEF LASAGNA,,,,
402,PHD,Pasta,CHEESE-BEEF FUSILLI,,,,
403,PHD,Pasta,ORIENTAL CHICKEN,,,,
405,PHD,Pasta,BLACK PEPPER CHICKEN,,,,
406,PHD,Snack,CHICKEN BITES,,,,
407,PHD,Fried chicken,WINGSTREET,,,,
408,PHD,Fried chicken,NEW ORLEANS CHICKEN WINGS,,,,
409,PHD,Snack,BAKED CHICKEN CHUNKS,,,,
410,PHD,Snack,SAUSAGE PASTRY ROLL,,,,
411,PHD,Chips,NACHO CHEESE,,,,
412,PHD,Soup,PUUF PASTRY MUSHROOM CREAM SOUP,,,,
413,PHD,Snack,GARLIC BREAD,,,,
414,PHD,Snack,CHICKEN ROYALE,,,,
415,PHD,Snack,DELUXE BEEF BRUSCHETTA,,,,
416,PHD,Snack,DELUXE CHICKEN BRUSCHETTA,,,,
417,PHD,Snack,GARLICHEESE BREAD,,,,
418,PHD,Snack,CHEESE ROLLS,,,,
419,PHD,Pastry,CHOCO PUFF,,,,
420,PHD,Snack,POTATO WEDGES,,,,
421,PHD,Pizza,CHEESE MARTABAK PIZZA,,,,
451,Domino's Pizza,Chips,CRISPY TORTILLA CHIPS,,,,
452,Domino's Pizza,Stuffed pocket,TASTY STUFFED POCKET SPICY CHICKEN SAUSAGE WITH CHEESE,,,,
453,Domino's Pizza,Stuffed pocket,TASTY STUFFED POCKET SPICY CHICKEN SAUSAGE,,,,
454,Domino's Pizza,Stuffed pocket,TASTY STUFFED POCKET PEPPERY BEEF SAUSAGE WITH CHEESE,,,,
455,Domino's Pizza,Stuffed pocket,TASTY STUFFED POCKET PEPPERY BEEF SAUSAGE,,,,
456,Domino's Pizza,Cake,CHOCOLATE LAVA,,,,
457,Domino's Pizza,Bread stick domino,CHOCO BREAD STICKS,,,,
460,Domino's Pizza,Pasta,SPICY TUNA MAC'N CHEESE EXTRA CHEESE,,,,
461,Domino's Pizza,Pasta,SPICY TUNA MAC'N CHEESE,,,,
462,Domino's Pizza,Pasta,CHICKEN CREAMY SPAGHETTI,,,,
463,Domino's Pizza,Pasta,CHICKEN CREAMY SPAGHETTI WITH CHEESE,,,,
464,Domino's Pizza,Pasta,BEEF PEPPER SPAGHETTI,,,,
465,Domino's Pizza,Pasta,MEATBALL MARINARA SPAGHETTI,,,,
466,Domino's Pizza,Pasta,1 PIECE KOREAN SWEET HEAT K-PASTA,,,,
467,Domino's Pizza,Pasta,MAC'N TRUFLLE ALFREDO BEEF,,,,
468,Domino's Pizza,Pasta,MAC'N TRUFLLE ALFREDO BEEF EXTRA CHEESE,,,,
469,Domino's Pizza,Pasta,BEEF PEPPER SPAGHETTI WITH CHEESE,,,,
