,Company,Menu
161,Pizza Hut,GARLICHEESE BREAD
162,Pizza Hut,CHEESE ROLLS
163,Pizza Hut,CHOCO PUFF
164,Pizza Hut,POTATO WEDGES
165,Pizza Hut,CHEESE MARTABAK PIZZA
166,Pizza Hut,FRESH SALAD
167,PHD,BEEF BBQ
168,PHD,CHEESY FRANK
169,PHD,MEATY
170,PHD,CREAMY CHICKEN
171,PHD,TASTY TUNA
172,PHD,CHEESY BEEF SPAGHETTI
173,PHD,MAC 'N CHEESE
174,PHD,CHICKEN FETTUCCINE ALLA ITALIA
175,PHD,RICE OMELETTE
176,PHD,CHICKEN DELIGHT
177,PHD,CHEESY DOUGH BALL
178,PHD,BEEF SAUSAGE BITES
179,PHD,CHICKEN STICKS
180,PHD,CHOCOCHIZ TOAST
181,PHD,POTATO WEDGES
182,PHD,SPLITZA
183,PHD,FRANKFURTER BBQ
184,PHD,CHEESEBURGER
185,PHD,MEAT MONSTA
186,PHD,SUPER SUPREME
187,PHD,MEAT LOVERS
188,PHD,PEPPERONI
189,PHD,AMERICAN FAVOURITE
190,PHD,TUNA MELT
191,PHD,CHEESE LOVERS
192,PHD,CHEESE OVERLOAD
193,PHD,VEGGIE GARDEN
194,PHD,CHOOSE YOUR CRUST!
195,PHD,BEEF ARABIATA
196,PHD,CLASSIC SALMON MENTAIKO
197,PHD,CREAMY TRUFFLE
198,PHD,CUMI CABE IJO
199,PHD,ORIENTAL CHICKEN SPAGHETTI
200,PHD,TUNA AGLIO OLIO
201,PHD,BLACK PEPPER CHICKEN FETTUCCINE
202,PHD,FLAMING HOT CHICKEN / PRAWN
203,PHD,CREAMY BEEF / CHICKEN CLASSIC FETTUCCINE
204,PHD,BEEF SPAGHETTI
205,PHD,BEEF LASAGNA
206,PHD,CHEESE-BEEF FUSILLI
207,PHD,ORIENTAL CHICKEN
208,PHD,MEATBALL BEEF MUSHROOM SAUCE
209,PHD,BLACK PEPPER CHICKEN
210,PHD,CHICKEN BITES
211,PHD,WINGSTREET
212,PHD,NEW ORLEANS CHICKEN WINGS
213,PHD,BAKED CHICKEN CHUNKS
214,PHD,SAUSAGE PASTRY ROLL
215,PHD,NACHO CHEESE
216,PHD,PUUF PASTRY MUSHROOM CREAM SOUP
217,PHD,GARLIC BREAD
218,PHD,CHICKEN ROYALE
219,PHD,DELUXE BEEF BRUSCHETTA
220,PHD,DELUXE CHICKEN BRUSCHETTA
221,PHD,GARLICHEESE BREAD
222,PHD,CHEESE ROLLS
223,PHD,CHOCO PUFF
224,PHD,POTATO WEDGES
225,PHD,CHEESE MARTABAK PIZZA
226,PHD,FRESH SALAD
227,Domino's Pizza,CRISPY TORTILLA CHIPS
228,Domino's Pizza,TASTY STUFFED POCKET SPICY CHICKEN SAUSAGE WITH CHEESE
229,Domino's Pizza,TASTY STUFFED POCKET SPICY CHICKEN SAUSAGE
230,Domino's Pizza,TASTY STUFFED POCKET PEPPERY BEEF SAUSAGE WITH CHEESE
231,Domino's Pizza,TASTY STUFFED POCKET PEPPERY BEEF SAUSAGE
232,Domino's Pizza,CHOCOLATE LAVA
233,Domino's Pizza,CHOCO BREAD STICKS
